Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Amazona brasiliensis,33.2,28.2,17.3,28.6,22.15,NA
Amazona collaria,33.3,26.35,16.1,27.45,19.95,177.5
Amazona diadema,34.25,30.4,18.4,30.4,21.85,222.5
Amazona dufresniana,40.25,32.4,18.95,32.3,24.25,202
Amazona farinosa,42.8,NA,NA,NA,26.7,240
Amazona festiva,35.9,NA,16.8,29.5,23.9,198
Amazona finschi,34.9,NA,18,32.1,21.8,190
Amazona guatemalae,45.85,36.15,19.95,37.6,27.95,233.95
Amazona guildingii,41.25,33.9,22.25,34.1,27.95,262.5
Amazona imperialis,44.75,37.7,21.05,34.75,31,281.5
Amazona kawalli,39.3,34.4,20.1,34.6,25.2,230
Amazona leucocephala,30.4,24.4,15.7,27.3,21.2,198.5
Amazona lilacina,35.6,26.2,14.4,25.8,22.9,200
Amazona mercenarius,33.1,NA,NA,NA,21.2,213
Amazona ochrocephala,40.2,NA,NA,NA,21.7,207
Amazona oratrix,39,NA,18.5,32.3,25,227
Amazona pretrei,27.95,22.95,13.8,21.6,18.6,NA
Amazona rhodocorytha,37.8,NA,17.7,31.5,22.7,212
Amazona tucumana,27.3,20,14.65,22.1,20.45,197
Amazona ventralis,31,NA,15.2,26.2,19.5,184
Amazona versicolor,38.7,NA,17.5,33.3,26.3,256
Amazona vinacea,34.6,NA,16.4,26.7,21.6,213
Amazona viridigenalis,33.8,NA,16.2,27.1,20.2,201
Amazona vittata,33.7,26.95,15.8,27.85,21.3,182.5
Amazona xantholora,30.8,NA,14,24.9,19.4,172
Amazonetta brasiliensis,38.5,NA,14.7,12.9,31.6,178.5
Amblycercus holosericeus,NA,NA,NA,NA,31.5,NA
Amblyornis flavifrons,27.4,13.4,6.8,8.3,33.9,132
Amblyornis inornata,29.3,14,8.55,9,35.7,128.5
Amblyornis macgregoriae,27.2,13.25,7.4,8.65,37.15,130.5
Amblyornis subalaris,26.15,13.6,6.9,8.35,34.05,120
Amblyospiza albifrons,20.2,NA,NA,NA,22.2,91.5
Amblyramphus holosericeus,31.5,NA,NA,NA,30.8,105.5
Ammodramus aurifrons,14.2,NA,NA,NA,21.6,59
Ammodramus humeralis,12.7,NA,NA,6.25,18.8,56.45
Ammodramus savannarum,13.85,NA,4.5,6.15,19.9,58.75
Ammomanes cinctura,12.5,7.6,4.1,4.4,21.1,90
Ammomanes deserti,16.2,NA,4.3,5.7,21.6,98
Ammomanes phoenicura,14.7,NA,5.3,6.8,21.5,102
Ammomanopsis grayi,14.1,NA,4.3,4.5,20.7,81
Ammonastes pelzelni,NA,10.3,3.7,3.9,22.7,56.6
Ammoperdix griseogularis,15.4,NA,6.7,6.8,28.8,125
Ammoperdix heyi,16.3,NA,6.6,7.5,29.5,120
Ammospiza caudacuta,15.65,9.2,3.75,5.3,21.2,NA
Ammospiza leconteii,11.3,7.1,4.2,5.1,17.3,53.65
Ammospiza maritima,16.5,NA,4.2,6.4,22.7,61
Ammospiza nelsoni,13.9,NA,3.8,NA,21.7,57
Ampeliceps coronatus,23.05,NA,5.95,6.5,23.9,NA
Ampelioides tschudii,24.2,NA,NA,NA,NA,103
Ampelion rubrocristatus,NA,NA,NA,NA,25.2,113
Ampelion rufaxilla,NA,NA,NA,NA,21.5,117
Ampelornis griseiceps,NA,10.5,3.95,3.55,23.2,59.15
Amphilais seebohmi,12.15,6.25,2.5,3.2,18.55,50.25
Amphispiza bilineata,11.7,8.2,4.6,5.9,18,63.5
Amphispiza quinquestriata,14.8,9.15,4.65,6.1,20.4,68.5
Amytornis ballarae,15.4,NA,3.9,4.9,NA,61
Amytornis barbatus,NA,NA,3.6,NA,NA,58
Amytornis dorotheae,14.7,NA,3.4,4.95,22.25,61
Amytornis goyderi,13.4,NA,3.7,NA,NA,58
Amytornis housei,18.95,NA,3.8,5.35,NA,72
Amytornis merrotsyi,15,NA,3.4,NA,NA,60
Amytornis modestus,13.5,NA,3.8,5.15,NA,63
Amytornis purnelli,16.5,NA,3.35,4.3,NA,61
Amytornis striatus,14.6,NA,NA,NA,NA,60
Amytornis textilis,14.4,NA,3.6,4.8,NA,64.2
Amytornis woodwardi,18.3,NA,4,5.3,NA,75
Anabacerthia amaurotis,NA,10.65,4.05,4.75,19.55,76.2
Anabacerthia lichtensteini,NA,NA,3.7,5.1,18.55,77.5
Anabacerthia ruficaudata,NA,NA,4.1,5.5,19.2,91
Anabacerthia striaticollis,NA,NA,NA,NA,20.1,89.3
Anabacerthia variegaticeps,NA,NA,3.55,5,19.5,85.35
Anabathmis hartlaubii,23.1,NA,3.1,3.3,19.9,62
Anabathmis newtonii,17.2,NA,3.2,2.4,17.8,53
Anabathmis reichenbachii,18.1,13.4,3.1,2.85,17.75,57
Anabazenops dorsalis,NA,15,5.1,7.4,23.1,94
Anabazenops fuscus,NA,16,4.5,NA,23.45,93.7
Anairetes alpinus,12.45,5.9,2.75,2.7,22.15,63.5
Anairetes fernandezianus,13.4,8.2,3.45,2.85,22.25,56
Anairetes flavirostris,10.55,5.8,2.9,3.2,18.4,48.5
Anairetes nigrocristatus,12.75,6.3,2.95,2.55,21.4,58
Anairetes parulus,NA,NA,NA,NA,NA,49
Anairetes reguloides,15.05,5.85,2.6,2.4,19.9,52.25
Anaplectes jubaensis,NA,NA,NA,NA,NA,NA
Anaplectes leuconotos,18.65,NA,NA,NA,19.15,82.75
Anaplectes rubriceps,18,NA,NA,NA,19.8,78
Anarhynchus frontalis,32.5,NA,3.6,3.6,30.55,120
Anas acuta,NA,NA,NA,NA,NA,257.5
Anas albogularis,35.15,27.95,14.1,12.5,30,187.5
Anas andium,40.5,NA,14.8,13,31.5,227
Anas aucklandica,43.1,NA,13.6,12.1,33.7,137
Anas bahamensis,41.45,31.85,15.7,12.4,34.75,205.5
Anas bernieri,34.3,26.9,13.2,11.2,32.2,195
Anas capensis,39.5,30.85,14.55,13.1,32.7,192.5
Anas carolinensis,34.65,29,11.5,11.7,25.75,174.5
Anas castanea,37.5,28.7,15.1,12.2,31.35,205
Anas chlorotis,41,NA,18,13.8,34.5,194
Anas crecca,NA,NA,NA,NA,NA,180
Anas eatoni,30.9,23.4,10.45,12.2,27.75,201.5
Anas erythrorhyncha,44.1,NA,16.3,14.5,30.2,219
Anas flavirostris,33.8,NA,13.4,11.7,27,194
Anas fulvigula,59.6,42.65,21.8,16.15,40.45,246
Anas georgica,34.7,NA,13.3,13.2,31,206
Anas gibberifrons,36.1,NA,14.2,11.8,32.5,193
Anas gracilis,38.5,NA,15.3,12,31.6,191
Anas laysanensis,43.5,29.45,14,11.1,34.45,201
Anas luzonica,54.9,37.5,20.25,14.3,39.35,239
Anas melleri,61.5,NA,22.9,15.7,38.9,245
Anas nesiotis,34,24.4,11.9,11.2,32.2,122
Anas platyrhynchos,NA,NA,NA,NA,NA,261.75
Anas poecilorhyncha,60.5,NA,21.6,15.9,42.3,274
Anas rubripes,58.2,NA,20.1,17.6,40.9,271
Anas sparsa,48.2,NA,20.3,13.5,37.9,250
Anas superciliosa,58.5,NA,19.7,15.6,40.2,253
Anas undulata,53.1,NA,18.8,13.7,37.5,239
Anas wyvilliana,47.45,33.35,15.7,14.2,34.2,222
Anas zonorhyncha,60.2,40.95,20.9,15.9,40.1,269
Anastomus lamelligerus,174.5,145.5,23.65,41.3,140.5,392
Anastomus oscitans,154,NA,21.2,37.9,140.7,394
Ancistrops strigilatus,NA,NA,5.3,7,22.9,91.3
Andigena cucullata,NA,NA,NA,26.9,41.7,181
Andigena hypoglauca,95.4,NA,NA,NA,40.8,172
Andigena laminirostris,92.25,NA,26.15,28.85,41.55,165.7
Andigena nigrirostris,89.05,NA,NA,NA,38,167.5
Androdon aequatorialis,39.6,NA,3.2,3.2,5.7,68
Andropadus importunus,19.15,NA,NA,NA,22.2,88.25
Androphobus viridis,15.8,7.8,4,4.5,25.2,64
Anhima cornuta,44.8,NA,11.7,14,NA,550
Anhinga anhinga,84.9,NA,NA,14.4,39.6,342
Anhinga melanogaster,88.6,NA,10.45,13.3,40.45,340.5
Anhinga novaehollandiae,88.1,74.9,9.45,12.7,51.8,349
Anhinga rufa,86.25,NA,9.5,12.9,44.85,343.5
Anisognathus flavinucha,NA,NA,NA,8,26,91
Anisognathus igniventris,NA,NA,NA,NA,25.1,NA
Anisognathus lacrymosus,15.6,NA,NA,NA,24.7,90
Anisognathus lunulatus,NA,NA,NA,NA,NA,NA
Anisognathus melanogenys,18.85,9.35,6,7.6,27.45,87
Anisognathus notabilis,22.5,12.8,6,7.35,23.2,100.25
Anisognathus somptuosus,NA,NA,NA,NA,NA,93
Anodorhynchus glaucus,67.5,NA,NA,NA,36.5,363.5
Anodorhynchus hyacinthinus,96.4,NA,42,85.8,41.4,448
Anodorhynchus leari,67.5,NA,NA,NA,NA,NA
Anomalospiza imberbis,12.65,7.25,4.25,7.75,16.8,64
Anopetia gounellei,NA,NA,NA,NA,NA,NA
Anorrhinus austeni,126.15,106.4,34.05,52.3,43.05,327
Anorrhinus galeritus,133.5,NA,34.4,55.9,NA,NA
Anorrhinus tickelli,117.2,NA,32,48.9,46.7,303
Anous albivittus,29.85,17.3,3.15,5,25.3,199.5
Anous ceruleus,27.7,NA,2.7,4.2,23.2,174
Anous minutus,49.15,30.55,4.25,6.5,21.85,223
Anous stolidus,45.8,NA,4.75,7.75,25.25,265.5
Anous tenuirostris,45.5,NA,3.6,5.8,21,212
Anser albifrons,NA,NA,18.2,17.8,64.7,403.5
Anser anser,60.9,NA,NA,NA,76,440
Anser brachyrhynchus,47.2,NA,19.5,15.1,76.8,433
Anser caerulescens,NA,NA,NA,NA,75.35,410
Anser canagicus,42.5,NA,20.3,17.5,63.2,362
Anser cygnoid,90.6,NA,24,19.6,NA,NA
Anser erythropus,37.6,NA,15.5,13.9,61.5,365
Anser fabalis,NA,NA,NA,NA,76.8,450.5
Anser indicus,49,NA,19.4,14.1,69.3,434
Anser rossii,38.45,21.85,13.8,15.4,59.35,346
Anseranas semipalmata,86.3,NA,23.7,20.1,86.5,420
Anthipes monileger,11.85,6.75,4,3.05,20.3,61.5
Anthipes solitaris,13.8,8.2,4.75,3.65,19.3,59.25
Anthobaphes violacea,23.9,NA,3.1,2.8,15.9,53
Anthocephala berlepschi,19.25,17.25,0.95,1,4.35,51.9
Anthocephala floriceps,16.8,15.1,0.9,1,4.2,48.7
Anthochaera carunculata,32.65,NA,4.85,6.05,NA,156.5
Anthochaera chrysoptera,28.9,NA,4.3,NA,NA,129
Anthochaera lunulata,32,NA,4.1,5.5,NA,118
Anthochaera paradoxa,NA,NA,5.05,6.5,NA,180
Anthochaera phrygia,21.3,NA,3.3,4.5,NA,111
Anthornis melanura,19.8,NA,3,NA,NA,87
Anthoscopus caroli,9.3,NA,NA,NA,13.2,52
Anthoscopus flavifrons,10.3,NA,2.9,4,12.4,54
Anthoscopus minutus,8.7,NA,NA,3.7,13.4,50
Anthoscopus musculus,8.3,NA,2.7,NA,11.4,49
Anthoscopus parvulus,8.9,7.1,2.6,3.1,11.5,50
Anthoscopus punctifrons,9.3,NA,2.7,3.5,13.1,51
Anthoscopus sylviella,NA,NA,NA,NA,NA,NA
Anthracoceros albirostris,NA,NA,34.9,NA,54.3,282
Anthracoceros coronatus,NA,NA,35.7,NA,61.55,312.5
Anthracoceros malayanus,137.8,NA,30.4,61.6,45.1,286
Anthracoceros marchei,142.15,NA,32.95,66.6,55.25,271.5
Anthracoceros montani,127.55,NA,29.45,60.5,48.75,283.5
Anthracothorax aurulentus,27,NA,NA,NA,NA,61.7
Anthracothorax dominicus,26.7,21.35,1.85,2.2,5.25,65.55
Anthracothorax mango,28.5,22.45,2.6,2.25,5.85,68.6
Anthracothorax nigricollis,25.4,NA,NA,NA,NA,67
Anthracothorax prevostii,NA,NA,2.8,2.6,NA,66
Anthracothorax veraguensis,28.5,NA,2.5,2,5.3,65.2
Anthracothorax viridigula,32.4,NA,3,2.8,5.8,69.1
Anthracothorax viridis,26.25,21.35,2.25,2.15,5.2,62.7
Anthreptes anchietae,16.7,11.35,3.05,3,16.65,64.5
Anthreptes aurantius,18,NA,3.5,3.4,17.3,65
Anthreptes gabonicus,15.4,NA,3.2,2.7,15.8,57
Anthreptes griseigularis,18.95,13.7,3.5,3.55,16.35,63
Anthreptes longuemarei,18.5,12.5,3.6,3.4,16.8,71
Anthreptes malacensis,NA,NA,NA,NA,NA,NA
Anthreptes neglectus,18.9,NA,3.4,3.7,17.3,71
Anthreptes orientalis,17.8,NA,NA,NA,18.05,66
Anthreptes rectirostris,14.55,9.8,3.2,3.15,14.85,54.5
Anthreptes reichenowi,16.25,11.6,3.2,3.05,15.3,54
Anthreptes rhodolaemus,18.6,NA,4.2,3.5,15.6,64
Anthreptes rubritorques,14.85,9.05,3.25,3.1,15.35,57.5
Anthreptes seimundi,NA,NA,NA,NA,NA,52
Anthreptes simplex,15.5,NA,3.4,3.1,15,60
Anthreptes tephrolaemus,NA,NA,NA,NA,NA,NA
Anthropoides paradiseus,98.2,59.55,16.45,18.45,249,564
Anthropoides virgo,68.9,NA,10.3,NA,183,478
Anthus antarcticus,15.65,9.75,3.25,3.6,23.8,81.5
Anthus berthelotii,14.6,NA,2.7,3.2,21.6,72
Anthus bogotensis,NA,NA,NA,4.3,22.6,80
Anthus brachyurus,12,NA,3,3.2,16.6,63
Anthus caffer,12.7,7.6,3.25,3.8,17.9,71
Anthus campestris,NA,NA,NA,NA,NA,93
Anthus cervinus,NA,NA,NA,NA,NA,84
Anthus chacoensis,13.5,7.8,2.8,3,17,64.5
Anthus cinnamomeus,16.8,NA,NA,NA,25.9,87.5
Anthus correndera,NA,NA,NA,3.9,23.4,73
Anthus crenatus,19.8,NA,3.4,4.4,27.4,84
Anthus furcatus,13.6,8.45,3.6,4.1,20.5,75
Anthus godlewskii,14.9,NA,3.5,3.9,25.9,89
Anthus gustavi,15.2,NA,3.4,3.7,22.4,80
Anthus gutturalis,17.8,NA,3.7,4.1,28.9,95
Anthus hellmayri,14.35,8.8,3.5,3.75,23.4,77.5
Anthus hodgsoni,14.1,NA,3.6,NA,20.6,79
Anthus hoeschi,16.45,9.9,4.05,3.9,27.05,85.5
Anthus leucophrys,17.1,NA,3.3,4,29.1,94.5
Anthus lineiventris,18,10.25,3.65,5,28.05,83.5
Anthus lutescens,13.25,NA,NA,3.25,19.5,60.85
Anthus melindae,16.5,NA,3.2,NA,26.8,83
Anthus nattereri,11.1,7.9,3.4,4.1,23.1,70.8
Anthus nilghiriensis,15.7,NA,3.6,3.9,24,75
Anthus novaeseelandiae,15.45,NA,3.45,3.85,NA,84
Anthus nyassae,16,8.95,3.4,4.1,25,89.75
Anthus pallidiventris,18.05,11,4.15,4.9,31.35,93.75
Anthus peruvianus,14.45,8.7,3.25,3.1,20.45,64
Anthus petrosus,NA,NA,NA,NA,NA,88.25
Anthus pratensis,NA,NA,NA,NA,NA,77.75
Anthus richardi,17.9,NA,4,4.3,29,90
Anthus roseatus,13.9,NA,3.1,NA,22.1,85
Anthus rubescens,14.8,NA,3.1,3.1,21.4,85
Anthus rufulus,15.4,NA,3.3,3.5,25,78
Anthus similis,19.7,NA,NA,NA,25.4,90.5
Anthus sokokensis,14.35,8.75,2.9,3.5,17.85,68.5
Anthus spinoletta,NA,NA,NA,NA,NA,87.2
Anthus spragueii,13.9,NA,3.5,3.8,21.8,78
Anthus sylvanus,16.4,NA,3.3,5,22.6,81
Anthus trivialis,NA,NA,NA,NA,NA,86.25
Anthus vaalensis,16.9,NA,3.5,4.1,29.1,103
Antigone antigone,177,88.3,13.15,NA,298,597
Antigone canadensis,130.3,NA,10.5,16.2,NA,472
Antigone rubicunda,162,87.8,13.95,22.8,285.5,577
Antigone vipio,150.5,85.9,11.45,20.65,249.5,530
Antilophia bokermanni,11.95,NA,NA,5.25,17.9,75.4
Antilophia galeata,12.9,NA,4,4.5,17.5,77
Antrostomus arizonae,21.9,7.9,4.5,3.1,NA,162
Antrostomus badius,25.55,7.95,5.65,3.45,16.8,163
Antrostomus carolinensis,15.45,NA,6.5,4.15,17.6,210
Antrostomus cubanensis,25.85,9.25,7.35,3.95,17.35,175.45
Antrostomus ekmani,24.1,8.8,5.4,4.6,16.1,172.3
Antrostomus noctitherus,17,6.8,4,2.9,16.6,132.5
Antrostomus ridgwayi,20.35,NA,NA,NA,17,150.5
Antrostomus rufus,26.6,10.65,5.95,NA,18.35,168.5
Antrostomus salvini,22.05,7.65,5.9,3.35,16.15,169.5
Antrostomus saturatus,16.15,5.7,3.8,3.15,16.1,142
Antrostomus sericocaudatus,23.2,8.5,5.8,3.25,17.8,NA
Antrostomus vociferus,NA,NA,NA,2.4,15,157
Anumara forbesi,24.9,16.3,6.8,9.9,28.7,102.6
Anumbius annumbi,NA,12.2,3.8,4.7,24.4,82.5
Anurophasis monorthonyx,21.3,11.3,8.3,9,42.3,147
Apalharpactes mackloti,18.9,NA,10,9.7,16.4,125
Apalharpactes reinwardtii,18.4,NA,10.4,10.65,NA,134.5
Apalis alticola,13.3,7.15,2.85,2.7,18.4,55.5
Apalis argentea,14.3,7.55,3.1,2.95,16.55,49.5
Apalis bamendae,12.7,7.15,2.6,2.8,16.95,50
Apalis binotata,12.7,NA,2.9,2.7,17.8,47
Apalis chapini,12.75,6.9,2.45,2.6,17.4,48
Apalis chariessa,11.8,5.85,2.95,2.5,17.15,52
Apalis chirindensis,12.5,7.6,2.85,2.5,17.75,48
Apalis cinerea,13.2,NA,2.6,2.7,19.3,53
Apalis flavida,13.5,NA,NA,NA,19,NA
Apalis flavigularis,14.75,8.05,2.5,2.8,21.35,50.5
Apalis flavocincta,13.6,NA,3,2.8,19.4,57
Apalis fuscigularis,14.7,8.1,2.8,2.8,20,53
Apalis goslingi,13.2,7.5,2.5,NA,NA,45
Apalis jacksoni,11.6,NA,2.4,2.3,16.9,51
Apalis kaboboensis,12.05,7.1,2.5,2.45,18.9,52
Apalis karamojae,14.1,8.9,2.45,2.65,16.5,49
Apalis lynesi,14.1,8.1,2.55,2.8,20.6,51.5
Apalis melanocephala,14,NA,NA,NA,17.7,48.75
Apalis nigriceps,11.15,6.25,2.65,2.5,15.95,46.75
Apalis personata,13.8,7.2,2.8,3,18.8,52
Apalis porphyrolaema,12.4,NA,2.6,2.6,18,50.5
Apalis ruddi,10.1,7.35,3.55,3.05,20.5,47
Apalis rufogularis,13.55,NA,NA,NA,17.05,47
Apalis sharpii,13,NA,2.5,3,16.6,46
Apalis thoracica,14.7,NA,NA,NA,20.3,51
Apaloderma aequatoriale,NA,NA,NA,NA,NA,113.5
Apaloderma narina,19.1,NA,10.2,10.7,16.4,129
Apaloderma vittatum,16.7,NA,NA,NA,14.9,122.5
Apalopteron familiare,16.1,NA,3.4,4.1,22.7,67
Aphanotriccus audax,13.85,7.85,5.25,3.25,14.3,54.25
Aphanotriccus capitalis,NA,7.5,5.1,3.5,14.7,58
Aphantochroa cirrochloris,24.8,NA,NA,3,NA,67
Aphelocephala leucopsis,10.1,NA,2.9,3.9,NA,60
Aphelocephala nigricincta,NA,NA,NA,NA,NA,56.5
Aphelocephala pectoralis,8.85,NA,2.9,3.75,17.35,54.75
Aphelocoma californica,33.5,NA,9.15,9.7,41.8,126.5
Aphelocoma coerulescens,30.2,NA,8.8,8.9,38,116
Aphelocoma ultramarina,32.5,NA,8.8,10.2,42.6,166
Aphelocoma unicolor,35.7,NA,11.2,11.1,43.1,171
Aphelocoma wollweberi,31.3,20,7.8,8.8,39.75,160.75
Aphrastura masafucrae,NA,NA,2.6,NA,22.25,67.85
Aphrastura spinicauda,NA,NA,2.5,3,20.1,60.5
Aphrodroma brevirostris,28.85,21.6,6.15,9.4,35.55,239
Aplonis atrifusca,35.3,21.3,8,9.75,33.3,145.5
Aplonis brunneicapillus,25.3,NA,6.25,9.45,22.8,107
Aplonis cantoroides,23.3,NA,5.55,7.05,22.65,99.5
Aplonis cinerascens,26.1,15.3,5.75,7.75,32.3,120.5
Aplonis circumscripta,21.35,11.75,5.3,7.05,21.8,106
Aplonis crassa,20.6,12.6,5.9,7.6,22.7,98
Aplonis dichroa,25.85,NA,5.85,7.5,27.35,113.5
Aplonis feadensis,25.65,15,6.3,7.95,27.1,121.5
Aplonis grandis,27,NA,7.2,8.5,31.9,130
Aplonis insularis,22.9,13.3,6.55,8.15,25.2,103
Aplonis magna,26.7,15.3,6.7,8.1,28.5,121.5
Aplonis metallica,23.2,NA,6,7.3,NA,109
Aplonis minor,19.4,NA,NA,5.5,20.15,97.5
Aplonis mysolensis,25.45,NA,6,7.9,23.75,108
Aplonis mystacea,17.2,11.8,5.8,7.5,20.7,100.5
Aplonis opaca,27.1,NA,7.2,8.5,29.9,123.5
Aplonis panayensis,21.75,NA,5.1,6.3,21.4,94.5
Aplonis pelzelni,23.8,14.2,5.4,6.1,25.8,100
Aplonis santovestris,21.8,11.9,5.1,5.8,26.2,96.5
Aplonis striata,19.3,NA,5.5,6.9,23,99
Aplonis tabuensis,20.55,11.95,5.4,6.35,25.75,98.75
Aplonis zelandica,22.8,NA,5.7,6.5,27,104.5
Aplopelia larvata,NA,NA,NA,NA,NA,144.75
Aprositornis disjuncta,NA,11.9,4.1,4,24.6,58.3
Aprosmictus erythropterus,23.9,NA,12.1,17,20.2,190
Aprosmictus jonquillaceus,24.7,19.2,12.45,18.45,19.45,176
Aptenodytes forsteri,102.4,51.5,13.8,17.7,NA,180
Aptenodytes patagonicus,105,NA,10.7,17.5,NA,NA
Apteryx australis,128.8,NA,4.5,6,NA,NA
Apteryx haastii,145,NA,4.7,5.7,76.7,NA
Apteryx mantelli,141.15,4.3,4.35,4.45,63,0.1
Apteryx owenii,83.6,NA,3.1,3.3,60.5,NA
Apteryx rowi,157,2.4,4.7,5.3,84,0.1
Apus acuticauda,13,4.1,3.1,3,15.2,174
Apus affinis,8.6,NA,NA,NA,NA,125.5
Apus alexandri,8.55,3,2.8,2.05,8.95,138.5
Apus apus,NA,NA,NA,NA,NA,168.75
Apus balstoni,11.8,4.25,3.65,2.6,10.9,161.5
Apus barbatus,11.7,4.4,3.05,2.45,11.9,171.5
Apus batesi,8.4,2.8,3.1,1.95,9.65,NA
Apus berliozi,10.55,4.65,3.75,2.7,13.5,170.5
Apus bradfieldi,11.4,NA,4.1,NA,12.2,175
Apus caffer,9.7,NA,2.9,NA,10.7,NA
Apus horus,9.45,NA,3.1,NA,10.2,149.25
Apus niansae,9.35,3.05,2.85,2.45,12.65,154.5
Apus nipalensis,8.9,NA,3.2,NA,10.9,129
Apus pacificus,8,NA,3.8,NA,NA,170
Apus pallidus,NA,NA,NA,NA,NA,166.5
Apus sladeniae,13,4.7,3.6,2.8,13.8,176
Apus unicolor,9.5,3.15,2.75,2.15,11.2,149.5
Aquila adalberti,61.9,40.65,21.4,31,97.65,599
Aquila africana,38.95,23.55,12.9,20.3,77,341.5
Aquila audax,60.4,38.5,19.7,31.4,105.75,624.5
Aquila chrysaetos,57.25,37.4,18.2,28.55,100.3,599.5
Aquila fasciata,46.05,29.45,16.3,23.95,94,488
Aquila gurneyi,55.05,33.1,16.6,NA,98.9,543.5
Aquila heliaca,58.9,NA,19,28.4,93.7,575
Aquila nipalensis,54,NA,18,24.9,96,561
Aquila rapax,52.4,NA,17.1,24.4,86,509
Aquila spilogaster,43.9,NA,14.6,22.3,90.3,427
Aquila verreauxii,58.35,35.45,18.4,27.35,117.25,587.5
Ara ambiguus,77.3,NA,32.3,73.3,37,394
Ara ararauna,71,NA,NA,NA,31.6,378
Ara chloropterus,80.8,NA,NA,NA,31.95,402.5
Ara glaucogularis,60.5,NA,24.9,52.9,30,348
Ara macao,71.15,NA,NA,NA,32.35,390.25
Ara militaris,NA,NA,NA,NA,29,368
Ara rubrogenys,50.5,46.4,24.9,51.3,27.2,290
Ara severus,40.7,NA,NA,NA,NA,240
Arachnothera affinis,41.1,NA,5.7,5.2,18.9,89
Arachnothera chrysogenys,44.1,NA,5.9,4.5,18.8,81.7
Arachnothera clarae,40.2,32.45,5.65,4.7,20.25,75.5
Arachnothera crassirostris,33.6,NA,4.7,4.65,16.35,70.3
Arachnothera dilutior,NA,NA,NA,NA,NA,NA
Arachnothera flammifera,NA,NA,NA,NA,NA,NA
Arachnothera flavigaster,39.75,31.75,7.25,5.8,20.25,103.5
Arachnothera juliae,46.8,NA,5.3,4.4,18.2,78
Arachnothera longirostra,NA,NA,4,3.85,17.6,67
Arachnothera magna,45.8,NA,6.1,5.4,20.9,89
Arachnothera modesta,39,30.1,5.6,5.15,19.1,76.75
Arachnothera robusta,58.6,NA,6.1,6,17.6,85
Aramides albiventris,NA,NA,NA,NA,NA,NA
Aramides axillaris,39.45,21.65,5.15,10.2,53.5,167.5
Aramides cajaneus,51.9,NA,NA,NA,61,NA
Aramides calopterus,46.75,24.8,5.3,10.25,64.95,158
Aramides mangle,39.7,NA,NA,9.4,52.8,158
Aramides saracura,58,NA,NA,NA,71.1,184
Aramides wolfi,54.3,28.45,5.25,10.95,71.8,161.5
Aramides ypecaha,78.7,NA,6.5,13.7,84.5,220
Aramidopsis plateni,49.8,29.7,3.9,8.5,58.2,138
Aramus guarauna,NA,NA,8.75,14.35,NA,234
Aratinga auricapillus,28.3,NA,13.6,22.8,14.3,154
Aratinga jandaya,28.5,NA,12.6,24.6,14.8,156
Aratinga maculata,25.1,22.5,12.4,22.5,14.4,154.3
Aratinga nenday,25.6,23.75,12.8,23.05,16.2,182.5
Aratinga solstitialis,28.1,22.5,12.4,24.95,14.95,156.5
Aratinga weddellii,22.7,NA,NA,NA,13.35,141.5
Arborophila ardens,NA,NA,5.3,8,37.3,128.6
Arborophila atrogularis,21.7,NA,5.7,7.4,39.1,127
Arborophila brunneopectus,22.7,NA,5.2,7.2,38.2,130
Arborophila cambodiana,23.05,9.75,5.8,7.55,38.85,139
Arborophila campbelli,21.95,9.5,5.6,7.35,40.8,132
Arborophila charltonii,22.6,NA,5.4,6.5,39.8,159
Arborophila chloropus,20.75,9.05,5.5,6.5,39.8,145.5
Arborophila crudigularis,23.65,10.15,5.5,8.05,38.75,137
Arborophila davidi,NA,9.3,5,7.4,37.1,132
Arborophila gingica,22.6,NA,4.7,6.5,39.7,139
Arborophila graydoni,21.6,11.5,5.6,6.1,42.6,159
Arborophila hyperythra,23,10.5,5.7,8.4,44.3,142
Arborophila javanica,24.3,NA,5.7,8,44.6,142
Arborophila mandellii,22.5,NA,4.6,6.6,40,128
Arborophila orientalis,22.35,9.6,5.9,8.15,42.9,142.5
Arborophila rolli,23.5,9.6,5.6,8.4,43.5,140.4
Arborophila rubrirostris,22.1,9.15,5.3,7.1,41,130.5
Arborophila rufipectus,21.3,8,4.6,6.5,43,139
Arborophila rufogularis,21.9,NA,4.6,6.3,36.4,137
Arborophila sumatrana,22.8,8.8,5.7,7.8,44.4,141
Arborophila tonkinensis,20.55,9.15,4.85,NA,39.95,145.75
Arborophila torqueola,21.5,NA,5,6.4,42.2,NA
Arcanator orostruthus,19,10.2,3.6,NA,NA,85
Archboldia papuensis,33.7,14.9,8.15,9.55,43.7,165
Archilochus alexandri,21.95,17.15,1.4,1.6,3.8,42.35
Archilochus colubris,NA,NA,1.6,2,NA,39
Ardea alba,NA,NA,NA,NA,NA,374.5
Ardea brachyrhyncha,75.45,58.1,10.2,14.45,111.9,309.65
Ardea cinerea,NA,NA,NA,NA,NA,444
Ardea cocoi,154,NA,19.5,28.5,NA,472
Ardea goliath,198,NA,22.6,35.4,238,575
Ardea herodias,145.25,106.5,16,23.65,169.5,461
Ardea humbloti,144,117,18.15,26.65,175.5,451.5
Ardea insignis,161,NA,18.3,28.6,180,545
Ardea intermedia,92.5,NA,10.4,14.4,103,305
