Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Alopochen aegyptiaca,50.5,NA,20.6,16.6,74.7,355
Amadina erythrocephala,11.5,NA,6.9,9.1,14.9,72
Amadina fasciata,11,NA,NA,NA,14,66
Amalocichla incerta,17.3,10.4,4.2,4.2,35.8,76
Amalocichla sclateriana,25.6,17.3,4.7,7.2,45.5,101
Amandava amandava,9.5,NA,3.9,5.1,13,47
Amandava formosa,10.4,NA,4.5,5.4,14,48
Amandava subflava,8.6,NA,4.2,4.6,11.8,43.5
Amaurocichla bocagii,19.1,13,3.9,3.8,23.9,63
Amaurolimnas concolor,28.4,15.75,3.55,6.7,38.95,122.5
Amaurornis cinerea,24.1,NA,3.2,5.7,32.2,94
Amaurornis isabellina,35.9,16.8,5.6,10.05,64.45,168.5
Amaurornis magnirostris,47.6,23,5.6,12.4,59.9,160
Amaurornis marginalis,19.8,NA,3.5,NA,34.6,106
Amaurornis moluccana,33.5,17.3,5.05,9.75,53.25,132
Amaurornis olivacea,34.75,16.9,5.5,9.8,59.5,149.5
Amaurornis phoenicurus,36.9,NA,4.6,8.9,48.8,145
Amaurospiza moesta,12.55,NA,NA,NA,17.6,61.5
Amaurospiza relicta,NA,NA,NA,NA,NA,NA
Amazilia alfaroana,NA,NA,NA,NA,NA,NA
Amazilia amabilis,NA,NA,NA,NA,NA,52.05
Amazilia amazilia,21.1,NA,2.9,2,NA,62
Amazilia bartletti,24.1,NA,NA,NA,NA,55
Amazilia beryllina,21.6,NA,2.2,2.1,NA,54.5
Amazilia boucardi,21.6,NA,2.2,2.2,5.9,54
Amazilia brevirostris,19.2,15.25,1.95,1.85,5.1,49.5
Amazilia candida,18.7,NA,2.3,2,NA,52
Amazilia castaneiventris,21.8,NA,1.85,1.5,NA,52.2
Amazilia chionogaster,NA,NA,NA,2.2,NA,58
Amazilia chrysura,NA,NA,2.75,2,4.4,51.5
Amazilia coeruleogularis,21.7,NA,2.1,2.2,4.7,46.5
Amazilia cupreicauda,18.9,NA,2.3,2.2,NA,49.2
Amazilia cyanifrons,20.4,15.2,2.35,1.7,5.6,56
Amazilia cyanocephala,23.4,NA,2.3,2.1,5.9,60
Amazilia cyanura,21.6,NA,2.4,1.9,7.2,53.5
Amazilia cyanus,20.1,NA,2,2.2,NA,48
Amazilia decora,25,NA,NA,NA,NA,52
Amazilia edward,20.3,NA,1.8,NA,NA,52.3
Amazilia eliciae,NA,NA,2.5,2.3,NA,49
Amazilia fimbriata,22.05,NA,NA,NA,NA,NA
Amazilia franciae,NA,NA,NA,NA,NA,NA
Amazilia goudoti,19.6,NA,2.1,NA,NA,50.1
Amazilia grayi,21.4,NA,NA,NA,NA,60.7
Amazilia humboldtii,21.35,NA,NA,NA,NA,61.9
Amazilia julie,15.6,NA,NA,1.7,4,42
Amazilia lactea,21.1,NA,NA,NA,NA,NA
Amazilia leucogaster,25.9,NA,NA,2.2,3.8,54
Amazilia lilliae,21.2,18.35,1.4,1.5,4.7,47.35
Amazilia luciae,NA,NA,2.1,2.55,3.55,54.35
Amazilia oenone,NA,NA,NA,NA,NA,51.5
Amazilia rosenbergi,24.2,NA,NA,NA,6.7,54
Amazilia rutila,24.9,NA,2.8,2.1,4.9,57.5
Amazilia sapphirina,20.8,16.15,2.05,1.9,4.8,49.5
Amazilia saucerottei,NA,NA,NA,NA,NA,NA
Amazilia tobaci,21.7,NA,2.4,1.9,6.3,52
Amazilia tzacatl,NA,NA,NA,NA,NA,NA
Amazilia versicolor,18.55,NA,NA,1.85,NA,47.8
Amazilia violiceps,25.8,NA,2.7,2.2,6.4,60
Amazilia viridicauda,25,NA,2.1,1.8,5.1,56
Amazilia viridifrons,25.15,21.5,3.25,2.45,4.45,55.45
Amazilia viridigaster,21.45,16.25,2.35,1.8,5,53.5
Amazilia wagneri,23.05,20.75,2.95,2.1,4.3,57.3
Amazilia yucatanensis,23.5,NA,2.7,NA,5.8,54
Amazona aestiva,38.4,NA,NA,30.15,19.45,203
Amazona agilis,28.9,22.95,14.65,23,19.5,159
Amazona albifrons,NA,NA,NA,NA,18.25,168
Amazona amazonica,37.8,NA,NA,29.4,23.5,201
Amazona arausiaca,38.5,NA,17.4,NA,25.5,240
Amazona auropalliata,42,NA,19.6,35.7,24.8,204
Amazona autumnalis,39.1,NA,16.8,NA,22.1,NA
Amazona barbadensis,37.8,30.5,16.2,29.2,18,219
Amazona bodini,37.8,30.5,16.6,30.15,23.65,210.5
